,250 scatter peaks interpolated,255 scatter peaks interpolated,260 scatter peaks interpolated,265 scatter peaks interpolated,270 scatter peaks interpolated,275 scatter peaks interpolated,280 scatter peaks interpolated,285 scatter peaks interpolated,290 scatter peaks interpolated,295 scatter peaks interpolated,300 scatter peaks interpolated,305 scatter peaks interpolated,310 scatter peaks interpolated,315 scatter peaks interpolated,320 scatter peaks interpolated,325 scatter peaks interpolated,330 scatter peaks interpolated,335 scatter peaks interpolated,340 scatter peaks interpolated,345 scatter peaks interpolated,350 scatter peaks interpolated,355 scatter peaks interpolated,360 scatter peaks interpolated,365 scatter peaks interpolated,370 scatter peaks interpolated,375 scatter peaks interpolated,380 scatter peaks interpolated,385 scatter peaks interpolated,390 scatter peaks interpolated,395 scatter peaks interpolated,400 scatter peaks interpolated,405 scatter peaks interpolated,410 scatter peaks interpolated,415 scatter peaks interpolated,420 scatter peaks interpolated,425 scatter peaks interpolated,430 scatter peaks interpolated,435 scatter peaks interpolated,440 scatter peaks interpolated,445 scatter peaks interpolated,450 scatter peaks interpolated,
Wavelength [nm],Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,
251.000,-4.103043,1.160175,-0.08870799,12.594,9.009,7.076,5.718,3.124,5.48,4.128,5.288,4.729,4.79,6.639,2.989,2.609,2.492,2.582,2.993,3.045,1.836,2.55,3.092,1.804,2.618,3.045,2.378,2.329,3.107,1.904,1.929,2.015,1.413,1.284,2.63,2.32,1.877,1.752,1.128,2.106,2.171,
252.000,3.138661,2.346786,0.659003,9.9003,8.591,7.062,6.757,9.365,5.668,5.593,3.863,3.84,2.13,4.411,3.36,3.57,2.39,1.137,3.096,2.468,2.476,3.647,3.454,1.886,2.787,2.587,3.137,3.25,1.348,2.063,2.114,2.315,1.454,2.046,2.014,2.584,1.568,2.388,2.081,1.794,1.791,
253.000,2.359096,-0.9045173,0.2236908,8.440237,7.509,5.2,5.354,5.122,7.29,4.841,4.646,3.805,2.972,3.832,2.35,2.233,2.492,1.555,2.197,1.357,2.408,2.421,4.291,0.952,2.947,2.061,1.625,3.224,2.219,1.98,1.799,2.249,2.067,1.705,1.501,1.882,1.627,0.849,1.822,1.881,1.858,
254.000,0.3544614,1.211399,0.08035652,12.63433,7.857,4.314,5.993,7.158,5.219,4.794,2.791,3.183,5.028,3.097,2.352,1.388,4.351,3.056,3.318,3.351,2.78,2.417,2.433,2.117,2.56,1.996,1.924,2.859,1.669,1.755,2.443,1.596,2.384,2.831,2.196,1.679,2.303,1.487,1.885,2.268,1.397,
255.000,4.764683,0.725184,0.600656,11.89944,8.949,2.572,7.275,4.65,4.103,4.046,1.537,1.747,4.007,1.849,2.501,3.441,3.379,1.206,2.83,1.562,2.584,2.036,2.8,2.339,1.437,2.065,2.163,2.755,1.097,2.468,1.692,2.11,1.742,1.558,1.957,2.295,1.462,2.404,1.802,1.887,1.103,
256.000,2.887491,2.082297,0.2040371,11.60447,3.67,6.522,3.181,7.341,3.594,0.937,2.535,1.119,2.624,2.151,2.845,1.191,2.195,2.026,1.884,2.783,1.622,2.05,2.126,3.208,2.095,1.758,2.089,1.648,1.347,1.534,1.415,1.602,1.616,2.564,1.355,1.51,1.878,1.322,0.915,1.677,2.138,
257.000,6.194341,4.032163,0.09533922,9.654889,4.126514,6.809,2.842,4.115,2.987,2.524,2.587,2.792,3.237,4.102,3.458,2.492,2.444,1.668,3.139,2.139,2.332,2.256,2.896,2.79,1.955,1.927,1.72,1.037,2.532,2.526,1.18,1.097,0.801,1.726,1.231,0.84,1.673,1.233,0.73,1.404,1.441,
258.000,4.480496,2.588355,0.4019625,15.53498,4.489839,3.146,4.252,3.058,6.485,2.359,3.73,4.119,4.476,2.547,2.631,3.013,2.862,1.461,2.016,2.17,2.15,2.132,1.211,1.43,1.94,1.779,1.493,2.607,1.189,1.834,1.448,1.835,1.616,2.317,1.026,1.005,1.277,2.097,1.505,1.944,1.61,
259.000,5.468112,6.410633,0.8572443,16.78125,4.640677,6.388,5.042,3.726,4.066,4.009,2.866,2.424,3.17,1.625,1.47,3.096,2.782,1.89,1.395,1.436,1.835,2.2,2.376,2.478,1.492,1.677,1.891,1.567,1.466,2.113,1.416,1.56,0.844,1.182,1.313,2.594,1.441,1.34,1.433,1.596,0.724,
